objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,Var11_1,FileName,Condition
334,103.5318,56.3107,0.02,0.0306,34572.9494,18797.5627,1.8392,571.6497,1110.0329,,L8-2_006,L8-2
167,99.2503,62.4878,0.02,0.0306,16571.4649,10430.3577,1.5888,666.6946,1534.3653,,L8-2_006,L8-2
266,137.2576,85.5315,0.02,0.0306,36505.2057,22743.2422,1.6051,718.0188,1711.3947,,L8-2_006,L8-2
193,99.4065,50.747,0.02,0.0306,19181.5883,9788.262,1.9597,1349,963,,L8-2_006,L8-2
326,88.3742,41.9257,0.02,0.0306,28803.4711,13657.8194,2.1089,1574.7761,667.2423,,L8-2_006,L8-2
250,127.1906,54.2533,0.02,0.0306,31792.637,13555.6924,2.3453,1846.476,206.476,,L8-2_006,L8-2
174,92.8519,47.7315,0.0153,0.0235,16153.5676,8301.1919,1.9459,333.6724,932.0115,,L8-2_007,L8-2
431,127.1461,53.8942,0.0153,0.0235,54793.3986,23218.2998,2.3599,962.7541,194.1206,,L8-2_007,L8-2
542,185.2053,80.959,0.0153,0.0235,100372.9688,43867.0725,2.2881,1098.8782,337.7343,,L8-2_007,L8-2
250,174.1295,74.5466,0.0153,0.0235,43528.552,18630.7929,2.3364,1278.5,151.5,,L8-2_007,L8-2
170,111.1381,45.0347,0.0153,0.0235,18890.8875,7651.9113,2.4688,1341.0176,114.0353,,L8-2_007,L8-2
177,67.8269,32.9054,0.0195,0.0286,12001.9007,5819.1999,2.0625,91.4802,500.678,,L8-2_008,L8-2
417,87.5861,43.4591,0.0195,0.0286,36515.2884,18110.5274,2.0162,871.446,727.5108,,L8-2_008,L8-2
224,78.911,35.3262,0.0195,0.0286,17671.6984,7906.673,2.235,1185.4509,419.5402,,L8-2_008,L8-2
179,57.1661,39.0074,0.0195,0.0286,10229.2466,6977.2155,1.4661,1495.3743,1967.3464,,L8-2_008,L8-2
252,59.6072,35.1197,0.0195,0.0286,15016.0937,8842.9743,1.6981,1632.7421,1289.1984,,L8-2_008,L8-2
306,108.5593,44.4274,0.0195,0.0286,33213.1886,13586.0373,2.4447,1714.9771,184.9477,,L8-2_008,L8-2
163,56.8228,37.8352,0.0195,0.0286,9258.9356,6162.4854,1.5025,2013,1648,,L8-2_008,L8-2
306,46.7663,26.6733,0.0333,0.0354,14300.2954,8151.1684,1.7544,696.3431,1025.9739,,L8-2_009,L8-2
328,42.5836,24.412,0.0333,0.0354,13956.4996,7995.5124,1.7455,1241.497,979.3018,,L8-2_009,L8-2
364,51.0717,21.6144,0.0333,0.0354,18577.999,7854.7206,2.3652,1451.4121,208.1786,,L8-2_009,L8-2
311,46.3218,26.8601,0.0333,0.0354,14395.7129,8342.4693,1.7256,1667.492,1268.1768,,L8-2_009,L8-2
328,62.5307,36.2209,0.0333,0.0354,20499.1469,11868.8278,1.7271,1680.8018,1335.3079,,L8-2_009,L8-2
243,34.2314,28.4626,0.0354,0.0491,8309.6325,6904.4858,1.2035,296.5761,1738.3909,,L8-2_010,L8-2
219,24.7745,15.0205,0.0354,0.0491,5417.8517,3278.7423,1.6524,399.5845,1008.3014,,L8-2_010,L8-2
189,23.1955,17,0.0354,0.0491,4377.2655,3203.7177,1.3663,440.4868,1714.963,,L8-2_010,L8-2
366,26.3572,19.5363,0.0354,0.0491,9633.7871,7132.3078,1.3507,555.3716,1796.7213,,L8-2_010,L8-2
149,21.7672,14.2361,0.0354,0.0491,3238.0322,2113.8677,1.5318,1312.1879,1423.349,,L8-2_010,L8-2
235,25.4429,14.0489,0.0354,0.0491,5970.7513,3289.9567,1.8148,1319.5234,620.0255,,L8-2_010,L8-2
199,23.157,15.8091,0.0354,0.0491,4601.2063,3136.2356,1.4671,1467.9095,1448.1658,,L8-2_010,L8-2
412,21.5105,11.7909,0.0306,0.0414,8849.7097,4840.7739,1.8282,176.5388,1295.5437,,L7_011,L7
328,50.9752,23.7103,0.0306,0.0414,16709.8288,7763.3737,2.1524,723.997,685.0793,,L7_011,L7
349,26.3184,15.3314,0.0306,0.0414,9174.442,5336.1953,1.7193,1119.4785,1596.5301,,L7_011,L7
279,29.395,11.6875,0.0306,0.0414,8192.6542,3249.246,2.5214,1275.638,258.6882,,L7_011,L7
323,25.2355,11.4131,0.0306,0.0414,8141.165,3673.0573,2.2165,1803.13,577.6161,,L7_011,L7
736,37.9291,17.5146,0.0286,0.0355,27894.7457,12864.614,2.1683,176.9715,449.25,,L7_012,L7
197,12.8325,8.3509,0.0286,0.0355,2522.3534,1638.1452,1.5398,216.665,1849.3858,,L7_012,L7
478,29.5905,16.0967,0.0286,0.0355,14130.5668,7677.2722,1.8406,1912.7971,1161.4749,,L7_012,L7
315,35.8215,21.4021,0.2873,0.1035,11193.2765,6709.0624,1.6684,690.3746,1415.8603,,L7_014,L7
295,44.2678,17.9954,0.2873,0.1035,12974.2301,5278.1198,2.4581,1193.5051,125.4169,,L7_014,L7
81,47.7785,20.2426,0.2873,0.1035,3846.7879,1631.269,2.3582,1215,139,,L7_014,L7
439,53.7231,27.6199,0.2873,0.1035,23458.3137,12079.6847,1.942,1615.0911,1017.3144,,L7_014,L7
504,23.0307,13.0593,0.0328,0.0411,11590.9164,6561.1922,1.7666,101.2163,1219.3115,,L7_016,L7
