objectArea,channel1_MeanIntensity,channel2_MeanIntensity,channel1_MeanBackgroundIntensity,channel2_MeanBackgroundIntensity,channel1_IntegratedIntensityAboveBackground,channel2_IntegratedIntensityAboveBackground,ratio_1_over_2,xPosition,yPosition,FileName,Condition
92,9.3319,6.3119,0.0467,0.0568,854.2366,575.4644,1.4844,1261.5,350,L1_004,L1
218,9.1486,7.8893,0.0467,0.0568,1984.2195,1707.4932,1.1621,1277.1972,569.3532,L1_004,L1
489,24.9879,25.7876,0.0467,0.0568,12196.2285,12582.3779,0.9693,1335.5256,506.227,L1_004,L1
306,9.7854,11.4551,0.0467,0.0568,2980.0299,3487.8791,0.8544,1365.0752,1544.7255,L1_004,L1
242,10.5034,8.0929,0.0467,0.0568,2530.512,1944.7264,1.3012,1832.0289,1696.0207,L1_004,L1
81,9.6444,6.4788,0.0467,0.0568,777.4153,520.1808,1.4945,1862,1044,L1_004,L1
119,10.5587,6.3187,0.0467,0.0568,1250.9226,745.1628,1.6787,1994,717,L1_004,L1
329,18.6396,17.7255,0.0934,0.0832,6101.6766,5804.329,1.0512,230.1763,409.9574,L1_005,L1
229,16.5846,18.0209,0.0934,0.0832,3776.4767,4107.7469,0.9194,863.6288,1412.4498,L1_005,L1
81,15.8896,14.9912,0.0934,0.0832,1279.4925,1207.5487,1.0596,894,931,L1_005,L1
224,20.7987,18.3333,0.0934,0.0832,4637.98,4088.0209,1.1345,939.0089,536.3304,L1_005,L1
270,21.261,19.1962,0.0934,0.0832,5715.2291,5160.5167,1.1075,1188.7481,766.9926,L1_005,L1
354,16.4858,17.6589,0.0934,0.0832,5802.8886,6221.811,0.9327,1245.3475,1536.6977,L1_005,L1
225,17.699,16.063,0.0934,0.0832,3961.2483,3595.4671,1.1017,1283.36,571.2356,L1_005,L1
175,8.9145,6.2285,0.0561,0.0522,1550.2337,1080.8478,1.4343,62.4971,265.96,L1_006,L1
162,8.2891,6.4826,0.0561,0.0522,1333.7573,1041.7267,1.2803,98.3148,865.1605,L1_006,L1
153,8.5198,7.633,0.0561,0.0522,1294.9583,1159.853,1.1165,305.817,1072.0065,L1_006,L1
287,9.8453,8.324,0.0561,0.0522,2809.519,2373.9981,1.1835,505.9686,817.4321,L1_006,L1
209,10.3911,6.5382,0.0561,0.0522,2160.0129,1355.5608,1.5934,614.0718,333.4641,L1_006,L1
125,8.5262,6.9625,0.0561,0.0522,1058.7653,863.7852,1.2257,1475,773,L1_006,L1
442,16.0522,12.9728,0.0561,0.0522,7070.2821,5710.8898,1.238,1878.8756,297.8348,L1_006,L1
273,2.6589,2.6835,0.0535,0.0484,711.2752,719.39,0.9887,421.4322,1463.7289,L1_007,L1
127,3.1426,2.0826,0.0535,0.0484,392.3196,258.3418,1.5186,530.0079,434.4567,L1_007,L1
495,7.7732,3.4626,0.0535,0.0484,3821.2652,1690.0211,2.2611,1082.0788,168.198,L1_007,L1
217,2.8938,2.3508,0.0535,0.0484,616.3394,499.6273,1.2336,1079.3088,500.2857,L1_007,L1
202,2.7545,2.6479,0.0535,0.0484,545.5965,525.1043,1.039,1956.5,1086,L1_007,L1
319,4.1759,3.0682,0.0535,0.0484,1315.0539,963.3294,1.3651,2006.3762,162.674,L1_007,L1
536,7.5597,6.5607,0.0485,0.0522,4026.0153,3488.5672,1.1541,800.9422,189.3675,L1_008,L1
218,3.6591,2.6197,0.0485,0.0522,787.1263,559.7217,1.4063,1121.3119,600.3761,L1_008,L1
266,3.7161,4.2243,0.0485,0.0522,975.5757,1109.7909,0.8791,1388.5038,1427.0526,L1_008,L1
353,4.7488,4.8197,0.0485,0.0522,1659.2118,1682.9478,0.9859,1444.8555,1065.6771,L1_008,L1
219,3.7663,5.1614,0.0433,0.052,815.3453,1118.967,0.7287,349.6667,1849.4018,L1_009,L1
92,3.5082,2.607,0.0433,0.052,318.7676,235.0582,1.3561,368,14.5,L1_009,L1
168,3.4614,3.5128,0.0433,0.052,574.2336,581.4228,0.9876,1021.6845,888.6845,L1_009,L1
352,4.8141,4.5434,0.0433,0.052,1679.332,1580.971,1.0622,1160.2045,276.7642,L1_009,L1
297,4.9776,4.8701,0.0433,0.052,1465.4949,1430.9923,1.0241,1249.6667,615.7744,L1_009,L1
393,6.5486,6.5719,0.0433,0.052,2556.5852,2562.3039,0.9978,1717.2545,572.5598,L1_009,L1
99,4.5671,4.199,0.041,0.048,448.0811,410.9437,1.0904,168.3232,1123.3232,L1_011,L1
322,6.92,5.3225,0.041,0.048,2215.0539,1698.3925,1.3042,262.4689,1720.0373,L1_011,L1
311,6.2366,4.9856,0.041,0.048,1926.83,1535.6018,1.2548,900.2219,1751.9968,L1_011,L1
254,5.4086,6.3961,0.041,0.048,1363.3847,1612.4181,0.8456,957.1339,1482.685,L1_011,L1
457,6.6543,6.4602,0.041,0.048,3022.2842,2930.3805,1.0314,1010.3807,367.0088,L1_011,L1
110,4.6356,4.9156,0.041,0.048,505.4113,535.4299,0.9439,1353.7091,548.1909,L1_011,L1
81,6.1612,4.037,0.041,0.048,495.7354,323.1065,1.5343,1612,319,L1_011,L1
337,9.7066,10.7114,0.0341,0.041,3259.632,3595.9291,0.9065,93.5074,959.3561,L3_035,L3
787,16.3227,13.339,0.0341,0.041,12819.1801,10465.4823,1.2249,1255.7814,303.2541,L3_035,L3
284,8.4396,7.7718,0.0341,0.041,2387.1763,2195.5301,1.0873,1668.5035,1634.3063,L3_035,L3
169,6.3776,6.603,0.0341,0.041,1072.0636,1108.9822,0.9667,1855.3373,1374.6331,L3_035,L3
184,6.7809,5.3508,0.0402,0.0451,1240.2897,976.2468,1.2705,497.5,594,L3_036,L3
328,6.5078,4.3505,0.0402,0.0451,2121.3597,1412.1906,1.5022,710.2378,524.9726,L3_036,L3
117,7.7327,4.0614,0.0402,0.0451,900.0209,469.909,1.9153,1233.547,344.5128,L3_036,L3
497,10.825,7.1716,0.0402,0.0451,5360.0189,3541.8935,1.5133,1275.0382,1398.8732,L3_036,L3
187,6.6334,5.8434,0.0402,0.0451,1232.9234,1084.2827,1.1371,1300.5561,1188.4118,L3_036,L3
187,6.456,4.7178,0.0402,0.0451,1199.7582,873.809,1.373,1644.1818,268.5027,L3_036,L3
279,8.9841,5.8258,0.0402,0.0451,2495.339,1612.8311,1.5472,1703.8674,1755.0036,L3_036,L3
290,44.9231,24.3518,0.0192,0.0278,13022.1206,7053.9499,1.8461,432.269,777.4793,L3_037,L3
443,87.1284,39.7697,0.0192,0.0278,38589.3641,17605.6639,2.1919,506.5463,387.6275,L3_037,L3
473,99.4138,56.9626,0.0192,0.0278,47013.6383,26930.1455,1.7458,1113.3404,1495.019,L3_037,L3
103,31.9198,14.926,0.0192,0.0278,3285.7586,1534.5138,2.1412,1329,553,L3_037,L3
317,47.283,29.1463,0.0192,0.0278,14982.6118,9230.5753,1.6232,1774.4858,1819.224,L3_037,L3
416,115.4874,51.7975,0.0231,0.0299,48033.1538,21535.3261,2.2304,331.7043,505.5096,L3_038,L3
398,41.6197,26.3612,0.0231,0.0299,16555.454,10479.8256,1.5797,492.4874,1284.3568,L3_038,L3
380,121.8202,92.8249,0.0231,0.0299,46282.8804,35262.09,1.3125,1328.6842,1114.4079,L3_038,L3
411,84.0221,43.6367,0.0231,0.0299,34523.6027,17922.3639,1.9263,1807.1095,1208.6934,L3_038,L3
233,15.9626,9.8217,0.0348,0.045,3711.187,2277.9809,1.6292,459.9356,670.103,L3_039,L3
303,14.7101,8.1982,0.0348,0.045,4446.6163,2470.4464,1.7999,714.4521,202.835,L3_039,L3
193,13.5298,7.2556,0.0348,0.045,2604.539,1391.6469,1.8716,942.0155,153.4145,L3_039,L3
404,49.7094,27.9631,0.0348,0.045,20068.557,11278.9416,1.7793,1744.8936,1613.3218,L3_039,L3
326,25.1449,14.9458,0.0348,0.045,8185.8899,4857.6695,1.6851,1872.9816,397.865,L3_039,L3
278,10.6977,7.9369,0.0336,0.0464,2964.618,2193.5753,1.3515,237.7086,1375.1043,L3_040,L3
110,11.1387,5.3037,0.0336,0.0464,1221.564,578.3037,2.1123,731.7091,408.1909,L3_040,L3
349,15.148,8.5456,0.0336,0.0464,5274.9103,2966.2477,1.7783,1449.235,1163.6332,L3_040,L3
718,138.5872,56.1108,0.0336,0.0464,99481.4909,40254.2443,2.4713,1841.2075,341.7744,L3_040,L3
304,22.3905,16.0058,0.0421,0.0482,6793.9053,4851.1167,1.4005,340.2895,1648.9671,L3_041,L3
531,21.1106,9.4202,0.0421,0.0482,11187.3737,4976.5112,2.248,1025.6987,873.322,L3_041,L3
315,24.6876,11.2653,0.0421,0.0482,7763.3128,3533.3758,2.1971,1075.0254,596.2381,L3_041,L3
256,13.9037,10.0059,0.0421,0.0482,3548.5537,2549.1789,1.392,1429.9922,1502.2383,L3_041,L3
219,14.3993,10.459,0.0421,0.0482,3144.2132,2279.9734,1.3791,1512.4338,1202.0594,L3_041,L3
157,14.0968,8.4044,0.0421,0.0482,2206.575,1311.9282,1.6819,1743.5159,444.6178,L3_041,L3
245,4.1615,2.2956,0.0387,0.0461,1010.0648,551.1496,1.8327,160.502,769.5306,L3_042,L3
252,4.1831,2.1241,0.0387,0.0461,1044.3892,523.68,1.9943,262.3175,521.3135,L3_042,L3
455,14.6862,7.2427,0.0387,0.0461,6664.5832,3274.4931,2.0353,328.3363,395.6484,L3_042,L3
275,4.5975,2.9829,0.0387,0.0461,1253.6616,807.6407,1.5523,1597.2255,869.2945,L3_042,L3
360,10.3256,5.2972,0.0387,0.0461,3703.2714,1890.4092,1.959,1855.5222,1567.4083,L3_042,L3
253,6.0925,2.8879,0.038,0.0431,1531.7924,719.7186,2.1283,824,827,L3_043,L3
291,4.8838,3.1429,0.038,0.0431,1410.1204,902.0388,1.5633,936.8969,842.6632,L3_043,L3
313,6.6233,3.532,0.038,0.0431,2061.2012,1092.01,1.8875,1195.0671,1089.9968,L3_043,L3
630,33.7767,22.3852,0.038,0.0431,21255.3645,14075.5362,1.5101,1650.5587,1740.446,L3_043,L3
524,10.7904,6.1637,0.0507,0.0517,5627.6348,3202.7145,1.7571,518.1756,1853.5573,L5_084,L5
336,6.6835,4.2639,0.0507,0.0517,2228.6467,1415.3057,1.5747,896.1548,1060.4048,L5_084,L5
153,6.0497,2.707,0.0507,0.0517,917.86,406.2653,2.2593,1425,958,L5_084,L5
99,6.303,2.6775,0.0507,0.0517,618.9868,259.9593,2.3811,1850.6768,668.6768,L5_084,L5
288,10.5675,9.6918,0.0507,0.0517,3028.852,2776.3546,1.0909,1932.7222,1817.0104,L5_084,L5
187,5.7255,2.4757,0.0507,0.0517,1061.2032,453.2913,2.3411,2032.1979,605.1497,L5_084,L5
254,29.6003,24.1946,0.0441,0.0487,7507.2748,6133.0603,1.2241,231.0709,808.7323,L5_085,L5
92,25.4125,10.8011,0.0441,0.0487,2333.8931,989.2227,2.3593,273,598.5,L5_085,L5
373,30.2143,15.3156,0.0441,0.0487,11253.4646,5694.5437,1.9762,308.0724,1251.7319,L5_085,L5
291,28.6137,11.7329,0.0441,0.0487,8313.7356,3400.1078,2.4451,374.2027,966.4021,L5_085,L5
192,22.4892,12.9533,0.0441,0.0487,4309.4524,2477.6787,1.7393,541,569.5,L5_085,L5
498,35.7586,18.8208,0.0441,0.0487,17785.8055,9348.5243,1.9025,1841.988,1611.7631,L5_085,L5
340,19.5641,10.8461,0.0749,0.0465,6626.317,3671.8575,1.8046,326.6529,1853.1794,L5_086,L5
440,66.9642,34.0998,0.0749,0.0465,29431.2533,14983.4532,1.9643,424.75,1790.5045,L5_086,L5
433,144.5233,51.2321,0.0749,0.0465,62546.1291,22163.3388,2.8221,1251.3326,271.0462,L5_086,L5
371,14.909,5.9726,0.0749,0.0465,5503.4311,2198.5594,2.5032,1271.4259,787.8571,L5_086,L5
180,5.4093,2.6398,0.1167,0.0622,952.6708,463.9719,2.0533,192.3278,1191.0556,L5_087,L5
282,7.3578,3.0283,0.1167,0.0622,2041.9918,836.4333,2.4413,717.0603,964.5106,L5_087,L5
509,39.6979,12.2778,0.1167,0.0622,20146.8239,6217.7433,3.2402,1058.6621,219.8369,L5_087,L5
459,8.0252,2.8968,0.1167,0.0622,3630.0088,1301.09,2.79,1790.2288,519.7364,L5_087,L5
443,94.2323,51.8965,0.033,0.0328,41730.2681,22975.6231,1.8163,1329.8488,1655.5869,L5_088,L5
479,59.0942,26.2203,0.033,0.0328,28290.3117,12543.8167,2.2553,1347.8372,1348.3549,L5_088,L5
537,37.097,12.9795,0.033,0.0328,19903.3378,6952.4159,2.8628,1433.9739,365.7393,L5_088,L5
353,101.1171,50.1186,0.0383,0.041,35680.8395,17677.4001,2.0184,192.3711,1599.9348,L5_089,L5
