Strain	Replicate	Day_1_CFU_Keep	Day_0_plate	0	Day_1_plate	1	Day_2_plate	2	Day_3_plate	3	Day_4_plate	4	Day_5_plate	5	Day_6_plate	6	Day_7_plate	7	Day_8_plate	8	Day_9_plate	9	Day_10_plate	10	Day_11_plate	11	Day_12_plate	12	Day_13_plate	13	Day_14_plate	14	Day_21_plate	21
WT	1	4140000000	347	34700000	414	4140000000	37	370000000	160	160000000	154	154000000	54	54000000	211	211000000	412	412000000	436	436000000	139	139000000	3	3000000	272	272000000	173	173000000	248	24800000	100	100000000	124	12400000
WT	2	3750000000	454	45400000	375	3750000000	24	240000000	226	226000000	144	144000000	72	72000000	324	324000000	334	334000000	111	111000000	16	16000000	277	277000000	92	92000000	128	128000000	151	151000000	95	95000000	283	2830000
WT	3	4530000000	474	47400000	453	4530000000	39	390000000	156	156000000	134	134000000	56	56000000	447	447000000	278	278000000	153	153000000	308	308000000	42	42000000	216	216000000	58	58000000	105	105000000	136	136000000	364	36400000
Rho	1	2990000000	502	50200000	299	2990000000	37	370000000	201	201000000	152	152000000	47	47000000	385	385000000	53	53000000	266	266000000	38	38000000	106	10600000	192	192000000	81	81000000	113	113000000	152	152000000	55	55000000
Rho	2	4430000000	457	45700000	443	4430000000	36	360000000	252	252000000	101	101000000	54	54000000	233	233000000	54	54000000	25	25000000	137	137000000	24	2400000	106	106000000	108	108000000	53	53000000	82	82000000	100	10000000
Rho	3	3750000000	333	33300000	375	3750000000	33	330000000	153	153000000	116	116000000	35	35000000	305	305000000	182	182000000	27	27000000	507	507000000	8	800000	133	133000000	183	183000000	155	155000000	155	155000000	51	51000000
ydcI	1	4360000000	629	62900000	436	4360000000	32	320000000	239	239000000	113	113000000	37	37000000	36	36000000	297	297000000	354	354000000	206	206000000	9	9000000	32	32000000	192	19200000	106	106000000	163	16300000	178	17800000
ydcI	2	4270000000	513	51300000	427	4270000000	26	260000000	191	191000000	110	110000000	66	66000000	29	29000000	183	183000000	376	376000000	110	110000000	97	97000000	71	71000000	77	77000000	126	126000000	21	21000000	214	21400000
ydcI	3	5400000000	556	55600000	540	5400000000	35	350000000	162	162000000	76	76000000	29	29000000	364	364000000	341	341000000	18	18000000	135	135000000	41	41000000	250	25000000	220	220000000	75	75000000	28	28000000	60	6000000
Rho_ydcI	1	2210000000	304	30400000	221	2210000000	37	370000000	345	345000000	91	91000000	224	224000000	392	392000000	5	500000	23	23000000	396	396000000	2	2000000	139	1390000	56	56000000	66	66000000	358	35800000	95	9500000
Rho_ydcI	2	2010000000	604	60400000	201	2010000000	29	290000000	323	323000000	80	80000000	302	302000000	42	42000000	416	41600000	238	238000000	4	4000000	123	123000000	47	47000000	91	91000000	40	40000000	85	8500000	71	7100000
Rho_ydcI	3	1720000000	485	48500000	172	1720000000	48	480000000	318	318000000	127	127000000	358	358000000	108	108000000	176	17600000	614	614000000	55	55000000	16	16000000	142	142000000	56	56000000	110	110000000	596	59600000	72	7200000
